kout,k12,k13,k21,k31,A1,B1,n,A2,B2,n2
0.00212372,0.003522404,0.002669016,0.002316071,0.000221148,3.79E-05,0.003523,0.8454,0.0002272,0.03772,0.8007
0.002757538,0.002112657,0.003037834,0.001925587,0.000228699,3.71E-05,0.003727,0.8559,0.0003206,0.06047,0.8094
0.002204502,0.002451202,0.003843878,0.001867399,0.000242754,4.29E-05,0.003534,0.8224,0.0002353,0.04659,0.8264
0.001795405,0.003846195,0.003831091,0.002154971,0.000241251,3.54E-05,0.00343,0.8509,0.0002044,0.03885,0.8151
0.002190188,0.003237626,0.004267693,0.001083179,0.000222114,4.11E-05,0.003719,0.8368,0.0001954,0.03073,0.8152
0.0024613,0.003062412,0.002885396,0.001808749,0.000274472,4.01E-05,0.003576,0.8334,0.0001985,0.04082,0.8344
0.002504336,0.003838082,0.002975032,0.002594811,0.000234268,3.67E-05,0.003471,0.8492,0.000277,0.03907,0.7892
0.002416955,0.003274804,0.003565456,0.002677707,0.000223308,3.77E-05,0.003791,0.8569,0.000136,0.03768,0.8684
0.002266701,0.003259515,0.004086867,0.002032468,0.000211091,3.37E-05,0.00351,0.8658,0.0001467,0.03313,0.8631
0.001999195,0.003117927,0.004366506,0.005231899,0.000264348,3.71E-05,0.0034,0.8431,0.0001365,0.04768,0.9061
0.002056778,0.00313341,0.004091359,0.002312166,0.000202024,3.27E-05,0.003641,0.8749,0.0002917,0.04375,0.7872
0.002828425,0.00251722,0.003450862,0.002443278,0.000213678,3.20E-05,0.003346,0.8664,0.0001251,0.0345,0.8777
0.002263313,0.003897074,0.003649502,0.003139055,0.000200815,3.93E-05,0.003647,0.8413,0.000248,0.03863,0.7933
0.002224269,0.002399507,0.003604234,0.002927497,0.000256527,3.87E-05,0.00379,0.8496,7.90E-05,0.02717,0.9323
0.002058811,0.003442562,0.003678483,0.002135355,0.000216161,5.07E-05,0.003789,0.7985,0.0003362,0.05112,0.7896
0.002147937,0.003183362,0.003998069,0.001766732,0.000253299,3.78E-05,0.003521,0.8447,0.0001774,0.03958,0.853
0.001716921,0.002699129,0.003639245,0.003789102,0.000215072,3.84E-05,0.003779,0.8479,0.0001561,0.04098,0.8612
0.001788511,0.002570024,0.003706874,0.002628114,0.000229512,3.04E-05,0.0033,0.8741,0.0001437,0.03749,0.8729
0.002257977,0.002564783,0.003230123,0.0024999,0.000253878,3.95E-05,0.003545,0.8342,0.000189,0.05897,0.8829
0.002930181,0.004766903,0.004457558,0.002274115,0.000232423,4.08E-05,0.003681,0.8385,0.0001055,0.03268,0.9006
0.001829351,0.003998751,0.003815152,0.002864376,0.000241142,3.53E-05,0.0036,0.8582,0.0002153,0.04891,0.8456
0.002510271,0.00326539,0.004476484,0.00333987,0.000224425,3.17E-05,0.003421,0.8717,0.0002132,0.03809,0.8187
0.001524653,0.003231447,0.003819532,0.002241518,0.000233356,3.20E-05,0.00333,0.8668,0.0002914,0.05408,0.8114
0.00246064,0.00286529,0.005320307,0.001301532,0.000230889,3.81E-05,0.003586,0.8458,0.0003251,0.03113,0.7412
0.002354297,0.003251249,0.003080784,0.002778451,0.000228895,3.66E-05,0.003288,0.8403,9.43E-05,0.02869,0.918
