A2,B2,n2
2.30E-08,0.001095,1.97
8.80E-08,0.0008879,1.761
5.41E-08,0.001842,1.826
8.63E-08,0.001437,1.73
1.31E-08,0.0005134,2
2.17E-08,0.001317,1.939
2.92E-07,0.001108,1.579
1.34E-07,0.002688,1.705
1.39E-08,0.001998,2
3.68E-08,0.001053,1.87
7.51E-08,0.002347,1.776
3.66E-08,0.001522,1.86
3.69E-08,0.00153,1.874
1.36E-08,0.001026,2
1.39E-08,0.0007453,1.996
5.19E-08,0.002594,1.813
1.68E-07,0.001455,1.641
3.21E-06,0.004183,1.279
1.32E-08,0.001455,2
1.32E-08,0.001097,2
1.27E-08,0.001102,2
1.08E-07,0.001728,1.713
1.94E-07,0.0008417,1.619
3.75E-08,0.001028,1.853
2.10E-08,0.0007184,1.937
2.13E-08,0.001164,1.928
7.30E-08,0.001556,1.778
3.34E-07,0.002513,1.579
8.30E-08,0.0009165,1.755
5.32E-07,0.001659,1.502
1.04E-07,0.002133,1.747
7.52E-08,0.001101,1.767
1.05E-07,0.002188,1.735
7.76E-08,0.0009801,1.761
8.07E-08,0.002343,1.761
3.67E-08,0.001223,1.885
1.70E-08,0.001091,2
2.27E-08,0.001216,1.944
6.82E-08,0.001053,1.783
3.49E-08,0.001587,1.879
8.86E-08,0.0006446,1.73
9.77E-08,0.0007694,1.73
1.39E-08,0.001176,2
2.78E-07,0.002434,1.574
2.63E-08,0.001418,1.932
1.19E-07,0.002192,1.734
3.91E-08,0.001483,1.88
1.30E-07,0.001047,1.699
1.25E-08,0.0008916,2
3.22E-07,0.002961,1.609
6.16E-08,0.001064,1.806
2.21E-07,0.002507,1.637
4.61E-08,0.00177,1.83
2.76E-08,0.001678,1.898
5.64E-08,0.002272,1.82
5.03E-08,0.0008267,1.832
1.37E-07,0.003551,1.725
3.17E-08,0.001306,1.916
9.63E-08,0.002007,1.736
4.22E-08,0.002042,1.849
2.07E-08,0.001926,1.947
9.82E-08,0.002003,1.732
1.16E-07,0.002117,1.696
8.25E-08,0.001386,1.766
2.16E-08,0.001413,1.947
1.53E-08,0.001527,2
2.48E-08,0.00199,1.909
2.23E-08,0.001836,1.931
3.52E-08,0.0008213,1.891
1.53E-07,0.002908,1.697
1.42E-08,0.001224,2
2.44E-08,0.001449,1.916
3.46E-08,0.001555,1.874
1.46E-08,0.001092,2
5.01E-08,0.00189,1.813
8.25E-08,0.001177,1.739
1.88E-07,0.003038,1.637
1.21E-07,0.001792,1.702
3.19E-08,0.001648,1.901
3.30E-08,0.001562,1.901
1.40E-08,0.001024,2
1.67E-08,0.001495,2
6.80E-08,0.0004283,1.784
7.45E-08,0.001564,1.801
3.10E-07,0.00252,1.579
1.18E-07,0.001406,1.722
1.34E-07,0.002473,1.725
2.02E-08,0.001092,1.958
6.54E-08,0.0009545,1.755
3.07E-08,0.001078,1.905
2.10E-07,0.001924,1.632
1.46E-08,0.00205,1.974
1.53E-07,0.001562,1.682
1.38E-07,0.001807,1.671
7.25E-08,0.001303,1.777
4.25E-08,0.001364,1.823
1.47E-07,0.002756,1.677
1.48E-08,0.001255,2
1.26E-07,0.001467,1.708
5.99E-08,0.002205,1.826
6.77E-08,0.001592,1.786
3.07E-08,0.001185,1.908
1.02E-07,0.00185,1.744
2.26E-08,0.0006773,1.933
1.09E-07,0.001073,1.714
1.24E-08,0.001001,2
1.55E-07,0.001492,1.675
7.49E-08,0.001835,1.76
1.78E-08,0.001582,1.963
2.41E-08,0.001462,1.911
9.52E-08,0.000721,1.758
1.25E-08,0.0008007,2
8.43E-08,0.001392,1.719
3.19E-08,0.001021,1.874
1.07E-07,0.001118,1.726
5.02E-08,0.001996,1.831
6.17E-08,0.001181,1.823
8.35E-08,0.001177,1.776
1.70E-08,0.001053,1.983
8.67E-08,0.0009001,1.763
2.36E-08,0.002022,1.926
4.03E-08,0.001831,1.848
3.08E-07,0.002827,1.568
1.36E-07,0.004021,1.698
9.47E-08,0.00147,1.729
8.94E-08,0.001136,1.746
4.48E-08,0.001575,1.848
2.86E-08,0.0009352,1.89
4.92E-08,0.001672,1.821
2.68E-08,0.0009026,1.9
8.84E-08,0.001413,1.756
8.70E-08,0.001864,1.737
4.13E-08,0.001164,1.854
8.67E-08,0.00172,1.732
1.49E-08,0.001136,1.993
3.34E-08,0.001438,1.88
2.44E-07,0.0007433,1.6
1.68E-08,0.0007584,2
7.46E-08,0.001154,1.763
3.31E-08,0.00173,1.886
5.33E-08,0.002465,1.817
9.21E-08,0.001403,1.736
1.22E-07,0.001293,1.695
8.37E-07,0.00279,1.462
2.25E-08,0.0006241,1.934
2.69E-08,0.001297,1.911
4.35E-08,0.0006613,1.824
9.88E-08,0.001971,1.761
1.98E-08,0.0008572,1.935
6.16E-08,0.001959,1.811
1.48E-08,0.000735,2
8.98E-08,0.002671,1.779
1.88E-07,0.001396,1.634
4.56E-08,0.001185,1.853
9.04E-08,0.00126,1.753
7.41E-08,0.001141,1.763
4.08E-08,0.001298,1.834
1.03E-07,0.001769,1.766
7.58E-08,0.001097,1.771
1.19E-07,0.001151,1.692
3.62E-07,0.001716,1.547
5.13E-08,0.002726,1.82
1.67E-08,0.001433,1.998
7.58E-08,0.002002,1.773
3.33E-08,0.0006613,1.869
1.87E-08,0.0007268,1.958
7.20E-08,0.001113,1.8
5.38E-08,0.001347,1.803
6.16E-08,0.001379,1.818
2.16E-08,0.0008312,1.943
2.65E-08,0.001143,1.907
4.96E-08,0.001467,1.851
8.75E-08,0.001982,1.774
6.10E-08,0.000982,1.805
4.34E-08,0.001922,1.864
1.96E-08,0.0011,1.955
7.05E-08,0.0009416,1.742
4.22E-08,0.0008184,1.846
4.50E-08,0.0007038,1.857
3.10E-07,0.001871,1.592
3.67E-08,0.001399,1.866
2.19E-08,0.001856,1.945
2.52E-08,0.000818,1.928
1.09E-07,0.00106,1.73
1.70E-08,0.0006845,1.95
6.36E-08,0.001292,1.781
4.93E-08,0.001793,1.83
2.71E-08,0.001079,1.94
4.87E-08,0.0007341,1.839
1.81E-07,0.001471,1.664
1.54E-07,0.001353,1.66
6.11E-08,0.001475,1.814
6.06E-08,0.002164,1.807
1.27E-07,0.0008734,1.69
6.83E-08,0.002386,1.789
2.22E-08,0.001194,1.964
6.04E-08,0.001336,1.801
7.66E-08,0.001562,1.767
3.65E-08,0.001213,1.886
2.06E-08,0.0006575,1.937
1.32E-07,0.002448,1.697
1.95E-07,0.00106,1.634
2.08E-07,0.003115,1.645
9.32E-08,0.001725,1.731
3.12E-07,0.002768,1.588
9.32E-08,0.002486,1.773
4.18E-08,0.001172,1.86
5.21E-08,0.001791,1.832
1.04E-07,0.003091,1.751
