Kon (pM^-n)*s^-1,Koff (s^-1),n
1.052e-05,0.0002358,1.013
9.152e-06,0.0002459,1.038
1.071e-05,0.0002476,1.011
8.751e-06,0.0002441,1.049
1.113e-05,0.0002422,1.007
8.413e-06,0.0002274,1.05
9.824e-06,0.0002521,1.034
9.112e-06,0.0002529,1.044
9.472e-06,0.0002388,1.027
8.462e-06,0.0002234,1.048
1.287e-05,0.0002507,0.9911
8.715e-06,0.000237,1.054
1.109e-05,0.0002379,1.007
1.096e-05,0.0002462,1.005
1.152e-05,0.0002405,1.001
1.085e-05,0.0002416,0.9989
7.154e-06,0.0002464,1.073
1.182e-05,0.0002405,0.9893
9.745e-06,0.0002651,1.032
9.516e-06,0.0002363,1.026
1.252e-05,0.0002807,0.9927
6.507e-06,0.0002388,1.093
1.212e-05,0.0002538,0.9887
9.929e-06,0.0002511,1.029
9.211e-06,0.0002231,1.041
1.053e-05,0.0002486,1.016
1.126e-05,0.0002646,0.9954
9.563e-06,0.0002532,1.037
9.924e-06,0.0002403,1.031
1.079e-05,0.0002375,1.012
7.184e-06,0.0002509,1.086
9.806e-06,0.0002395,1.028
1.232e-05,0.0002366,0.9853
7.887e-06,0.0002518,1.071
1.296e-05,0.0002741,0.983
1.19e-05,0.0002492,1.01
1.296e-05,0.0002547,0.9894
8.492e-06,0.0002541,1.052
1.178e-05,0.0002664,1.004
8.763e-06,0.0002481,1.044
8.391e-06,0.0002724,1.066
1.047e-05,0.0002452,1.018
1.114e-05,0.0002371,1.011
8.522e-06,0.0002262,1.048
1.075e-05,0.0002308,1.005
1.105e-05,0.0002341,0.9993
1.416e-05,0.0002573,0.9767
7.993e-06,0.0002303,1.063
1.09e-05,0.0002432,1.008
9.391e-06,0.0002401,1.03
1.261e-05,0.0002809,0.9767
7.636e-06,0.0002463,1.067
1.084e-05,0.0002447,1.009
8.084e-06,0.0002437,1.064
8.944e-06,0.0002353,1.047
8.66e-06,0.000257,1.045
9.575e-06,0.0002306,1.036
7.544e-06,0.000259,1.061
7.834e-06,0.0002427,1.064
8.109e-06,0.0002474,1.058
8.822e-06,0.0002754,1.046
8.704e-06,0.0002443,1.041
1.03e-05,0.000247,1.017
1.025e-05,0.0002466,1.014
1.186e-05,0.0002407,0.9818
9.032e-06,0.0002307,1.035
7.936e-06,0.0002477,1.073
8.517e-06,0.0002339,1.044
8.249e-06,0.0002421,1.045
1.27e-05,0.0002531,0.9858
1.236e-05,0.0002278,0.9972
9.938e-06,0.0002509,1.026
